nama,kategori,harga,stok,foto,status
Rubik 3x3,Rubik 3x3,"16,000",10,Rubik 3x3.jpeg,Tersedia
Rubik 3x3 mirror,Rubik 3x3,"33,000",10,Rubik mirror 3x3.jpeg,Tersedia
Rubik Axis,Rubik 3x3,"33,000",10,Rubik Axis.jpeg,Tersedia
Rubik Windmill,Rubik 3x3,"33,000",10,Rubik Windmill.jpeg,Tersedia
Rubik Ghost ,Unique Cube,"50,000",10,Rubik Ghost.jpeg,Tersedia
Rubik 2x2 ,Rubik 2x2,"15,000",10,Rubik 2x2.jpg,Tersedia
Rubik 2x2 mirror,Rubik 2x2,"30,000",10,Rubik 2x2 mirror.jpeg,Tersedia
Rubik 4x4 ,Rubik 4x4,"44,000",10,Rubik 4x4.jpeg,Tersedia
Rubik 4x4 mirror,Rubik 4x4,"80,000",10,Rubik 4x4 mirror.jpeg,Tersedia
Rubik Piramid 2x2,Rubik Piramid,"35,000",10,Rubik Piramid 2x2.jpeg,Tersedia
Rubik Piramid 3x3,Rubik Piramid,"40,000",10,Rubik Piramid 3x3.jpeg,Tersedia
Rubik Jam,Unique Cube,"80,000",10,Rubik Jam.jpeg,Tersedia
Rubik Spinner,Unique Cube,"20,000",10,Rubik Spinner.jpeg,Tersedia
Rubik Twist,Unique Cube,"50,000",10,Rubik Twist.jpeg,Tersedia
Rubik Sudoku,Unique Cube,"80,000",10,Rubik Sudoku.jpeg,Tersedia
Rubik Megamix,Unique Cube,"300,000",10,Rubik Megamix.jpeg,Tersedia
Rubik Ivy,Unique Cube,"28,000",10,Rubik Ivy.jpeg,Tersedia
Rubik Skewb,Unique Cube,"33,000",10,Rubik Skewb.jpeg,Tersedia
Rubik Square-1,Unique Cube,"25,000",10,Rubik Square-1.jpeg,Tersedia
